0;1,000
1;0,950
2;0,960
3;0,970
4;1,160
5;0,950
6;0,520
7;0,520
8;1,540
9;0,520
10;0,520
11;0,520
12;0,520
13;0,520
14;0,520
15;0,950
16;0,560
17;0,950
18;0,950
19;0,950
20;0,950
21;0,520
22;0,950
23;0,620
24;0,880
25;0,300
26;0,950
27;0,540
28;0,520
29;0,520
30;0,730
31;0,880
32;0,460
33;0,880
34;0,950
35;0,650
36;0,950
37;0,520
38;0,950
39;0,960
40;0,830
41;0,520
42;0,950
43;0,860
44;0,950
45;0,570
46;0,680
47;0,270
48;0,950
49;0,520
50;0,950
51;0,530
52;0,950
53;0,520
54;0,950
55;0,950
56;0,800
57;0,710
58;0,950
59;0,950
60;0,950
61;0,890
62;0,160
63;0,520
64;0,960
65;0,950
66;0,950
67;0,950
68;0,520
69;0,950
70;0,660
71;0,950
72;0,530
73;0,550
74;0,950
75;0,950
76;0,950
77;0,950
78;0,950
79;0,840
80;0,520
81;0,950
82;0,740
83;0,620
84;0,950
85;0,530
86;0,620
87;0,520
88;0,520
89;0,700
90;0,960
91;0,520
92;0,890
93;0,520
94;0,520
95;0,520
96;0,520
97;0,950
98;0,520
99;0,520
100;0,940
101;0,520
102;0,520
103;0,570
104;0,950
105;0,960
106;1,420
107;0,990
108;0,520
109;0,520
110;0,520
111;0,960
112;1,510
113;0,520
114;0,950
115;0,650
116;0,520
117;0,600
118;0,520
119;0,520
120;0,520
121;0,560
122;0,530
123;0,360
124;0,520
125;0,840
126;0,950
127;0,690
128;0,190
129;0,950
130;0,950
131;0,520
132;0,270
133;0,950
134;0,950
135;0,950
136;0,950
137;0,950
138;0,960
139;0,950
140;0,950
141;0,770
142;0,950
143;0,550
144;0,950
145;0,950
146;0,950
147;0,950
148;0,950
149;0,950
150;0,950
151;0,950
152;0,520
153;0,520
154;0,460
155;0,950
156;0,590
157;0,520
158;0,520
159;0,950
160;0,520
161;0,900
162;1,150
163;0,950
164;1,180
165;0,880
166;1,090
167;0,950
168;0,210
169;0,840
170;1,300
171;1,560
172;0,970
173;0,950
174;1,380
175;0,950
176;0,530
177;0,960
178;1,190
179;0,950
180;1,070
181;0,950
182;0,950
183;0,950
184;0,530
185;0,950
186;0,520
187;0,950
188;0,520
189;0,520
190;0,220
191;0,520
192;0,520
193;0,950
194;0,530
195;1,180
196;0,950
197;0,950
198;0,520
199;0,950
200;0,540
201;0,950
202;0,950
203;0,960
204;0,950
205;0,950
206;0,950
207;0,460
208;0,530
209;0,950
210;0,520
211;0,520
212;0,950
213;0,950
214;0,950
215;0,950
216;0,610
217;0,950
218;1,010
219;0,880
220;0,950
221;0,950
222;0,950
223;0,950
224;1,290
225;0,950
226;1,620
227;0,950
228;0,950
229;1,220
230;0,940
231;1,300
232;0,520
233;1,030
234;1,240
235;0,950
236;0,910
237;0,810
238;0,950
239;1,540
240;0,960
241;0,940
242;0,950
243;0,520
244;0,990
245;0,810
246;0,950
247;1,280
248;0,950
249;0,950
